Date, Close/Last, Volume, Open, High, Low
03/04/2020, 3130.12, 0, 3045.75, 3130.97, 3034.38
03/03/2020, 3003.37, 0, 3096.46, 3136.72, 2976.63
03/02/2020, 3090.23, 0, 2974.28, 3090.96, 2945.19
02/28/2020, 2954.22, 0, 2916.9, 2959.72, 2855.84
02/27/2020, 2978.76, 0, 3062.54, 3097.07, 2977.39
02/26/2020, 3116.39, 0, 3139.9, 3182.51, 3108.99
02/25/2020, 3128.21, 0, 3238.94, 3246.99, 3118.77
02/24/2020, 3225.89, 0, 3257.61, 3259.81, 3214.65
02/21/2020, 3337.75, 0, 3360.5, 3360.76, 3328.45
02/20/2020, 3373.23, 0, 3380.45, 3389.15, 3341.02
02/19/2020, 3386.15, 0, 3380.39, 3393.52, 3378.83
02/18/2020, 3370.29, 0, 3369.04, 3375.01, 3355.61
02/14/2020, 3380.16, 0, 3378.08, 3380.69, 3366.15
02/13/2020, 3373.94, 0, 3365.9, 3385.09, 3360.52
02/12/2020, 3379.45, 0, 3370.5, 3381.47, 3369.72
02/11/2020, 3357.75, 0, 3365.87, 3375.63, 3352.72
02/10/2020, 3352.09, 0, 3318.28, 3352.26, 3317.77
02/07/2020, 3327.71, 0, 3335.54, 3341.42, 3322.12
02/06/2020, 3345.78, 0, 3344.92, 3347.96, 3334.39
02/05/2020, 3334.69, 0, 3324.91, 3337.58, 3313.75
02/04/2020, 3297.59, 0, 3280.61, 3306.92, 3280.61
02/03/2020, 3248.92, 0, 3235.66, 3268.44, 3235.66
01/31/2020, 3225.52, 0, 3282.33, 3282.33, 3214.68
01/30/2020, 3283.66, 0, 3256.45, 3285.91, 3242.8
01/29/2020, 3273.4, 0, 3289.46, 3293.47, 3271.89
01/28/2020, 3276.24, 0, 3255.35, 3285.78, 3253.22
01/27/2020, 3243.63, 0, 3247.16, 3258.85, 3234.5
01/24/2020, 3295.47, 0, 3333.1, 3333.18, 3281.53
01/23/2020, 3325.54, 0, 3315.77, 3326.88, 3301.87
01/22/2020, 3321.75, 0, 3330.02, 3337.77, 3320.04
01/21/2020, 3320.79, 0, 3321.03, 3329.79, 3316.61
01/17/2020, 3329.62, 0, 3323.66, 3329.88, 3318.86
01/16/2020, 3316.81, 0, 3302.97, 3317.11, 3302.82
01/15/2020, 3289.29, 0, 3282.27, 3298.66, 3280.69
01/14/2020, 3283.15, 0, 3285.35, 3294.25, 3277.19
01/13/2020, 3288.13, 0, 3271.13, 3288.13, 3268.43
01/10/2020, 3265.35, 0, 3281.81, 3282.99, 3260.86
01/09/2020, 3274.7, 0, 3266.03, 3275.58, 3263.67
01/08/2020, 3253.05, 0, 3238.59, 3267.07, 3236.67
01/07/2020, 3237.18, 0, 3241.86, 3244.91, 3232.43
01/06/2020, 3246.28, 0, 3217.55, 3246.84, 3214.64
01/03/2020, 3234.85, 0, 3226.36, 3246.15, 3222.34
01/02/2020, 3257.85, 0, 3244.67, 3258.14, 3235.53
12/31/2019, 3230.78, 0, 3215.18, 3231.72, 3212.03
12/30/2019, 3221.29, 0, 3240.09, 3240.92, 3216.57
12/27/2019, 3240.02, 0, 3247.23, 3247.93, 3234.37
12/26/2019, 3239.91, 0, 3227.2, 3240.08, 3227.2
12/24/2019, 3223.38, 0, 3225.45, 3226.43, 3220.51
12/23/2019, 3224.01, 0, 3226.05, 3227.78, 3222.3
12/20/2019, 3221.22, 0, 3223.33, 3225.65, 3216.03
12/19/2019, 3205.37, 0, 3192.32, 3205.48, 3192.32
12/18/2019, 3191.14, 0, 3195.21, 3198.48, 3191.14
12/17/2019, 3192.52, 0, 3195.4, 3198.22, 3191.03
12/16/2019, 3191.45, 0, 3183.63, 3197.71, 3183.63
12/13/2019, 3168.8, 0, 3166.65, 3182.68, 3156.51
12/12/2019, 3168.57, 0, 3141.23, 3176.28, 3138.47
12/11/2019, 3141.63, 0, 3135.75, 3143.98, 3133.21
12/10/2019, 3132.52, 0, 3135.36, 3142.12, 3126.09
12/09/2019, 3135.96, 0, 3141.86, 3148.87, 3135.46
12/06/2019, 3145.91, 0, 3134.62, 3150.6, 3134.62
12/05/2019, 3117.43, 0, 3119.21, 3119.45, 3103.76
12/04/2019, 3112.76, 0, 3103.5, 3119.38, 3102.53
12/03/2019, 3093.2, 0, 3087.41, 3094.97, 3070.33
12/02/2019, 3113.87, 0, 3143.85, 3144.31, 3110.78
11/29/2019, 3140.98, 0, 3147.18, 3150.3, 3139.34
11/27/2019, 3153.63, 0, 3145.49, 3154.26, 3143.41
11/26/2019, 3140.52, 0, 3134.85, 3142.69, 3131
11/25/2019, 3133.64, 0, 3117.44, 3133.83, 3117.44
11/22/2019, 3110.29, 0, 3111.41, 3112.87, 3099.26
11/21/2019, 3103.54, 0, 3108.49, 3110.11, 3094.55
11/20/2019, 3108.46, 0, 3114.66, 3118.97, 3091.41
11/19/2019, 3120.18, 0, 3127.45, 3127.64, 3113.47
11/18/2019, 3122.03, 0, 3117.91, 3124.17, 3112.06
11/15/2019, 3120.46, 0, 3107.92, 3120.46, 3104.6
11/14/2019, 3096.63, 0, 3090.75, 3098.2, 3083.26
11/13/2019, 3094.04, 0, 3084.18, 3098.06, 3078.8
11/12/2019, 3091.84, 0, 3089.28, 3102.61, 3084.73
11/11/2019, 3087.01, 0, 3080.33, 3088.33, 3075.82
11/08/2019, 3093.08, 0, 3081.25, 3093.09, 3073.58
11/07/2019, 3085.18, 0, 3087.02, 3097.77, 3080.23
11/06/2019, 3076.78, 0, 3075.1, 3078.34, 3065.89
11/05/2019, 3074.62, 0, 3080.8, 3083.95, 3072.15
11/04/2019, 3078.27, 0, 3078.96, 3085.2, 3074.87
11/01/2019, 3066.91, 0, 3050.72, 3066.95, 3050.72
10/31/2019, 3037.56, 0, 3046.9, 3046.9, 3023.19
10/30/2019, 3046.77, 0, 3039.74, 3050.1, 3025.96
10/29/2019, 3036.89, 0, 3035.39, 3047.87, 3034.81
10/28/2019, 3039.42, 0, 3032.12, 3044.08, 3032.12
10/25/2019, 3022.55, 0, 3003.32, 3027.39, 3001.94
10/24/2019, 3010.29, 0, 3014.78, 3016.07, 3000.42
10/23/2019, 3004.52, 0, 2994.01, 3004.78, 2991.21
10/22/2019, 2995.99, 0, 3010.73, 3014.57, 2995.04
10/21/2019, 3006.72, 0, 2996.48, 3007.33, 2995.35
10/18/2019, 2986.2, 0, 2996.84, 3000, 2976.31
10/17/2019, 2997.95, 0, 3000.77, 3008.29, 2991.79
10/16/2019, 2989.69, 0, 2989.68, 2997.54, 2985.2
10/15/2019, 2995.68, 0, 2973.61, 3003.28, 2973.61
10/14/2019, 2966.15, 0, 2965.81, 2972.84, 2962.94
10/11/2019, 2970.27, 0, 2963.07, 2993.28, 2963.07
10/10/2019, 2938.13, 0, 2918.55, 2948.46, 2917.12
10/09/2019, 2919.4, 0, 2911.1, 2929.32, 2907.41
10/08/2019, 2893.06, 0, 2920.4, 2925.47, 2892.66
10/07/2019, 2938.79, 0, 2944.23, 2959.75, 2935.68
10/04/2019, 2952.01, 0, 2918.56, 2953.74, 2918.56
10/03/2019, 2910.63, 0, 2885.38, 2911.13, 2855.94
10/02/2019, 2887.61, 0, 2924.78, 2924.78, 2874.93
10/01/2019, 2940.25, 0, 2983.69, 2992.53, 2938.7
09/30/2019, 2976.74, 0, 2967.07, 2983.85, 2967.07
09/27/2019, 2961.79, 0, 2985.47, 2987.31, 2945.53
09/26/2019, 2977.62, 0, 2985.73, 2987.28, 2963.71
09/25/2019, 2984.87, 0, 2968.35, 2989.82, 2952.86
09/24/2019, 2966.6, 0, 3002.43, 3007.98, 2957.73
09/23/2019, 2991.78, 0, 2983.5, 2999.15, 2982.23
09/20/2019, 2992.07, 0, 3008.42, 3016.37, 2984.68
09/19/2019, 3006.79, 0, 3010.36, 3021.99, 3003.16
09/18/2019, 3006.73, 0, 3001.5, 3007.83, 2978.57
09/17/2019, 3005.7, 0, 2995.67, 3006.21, 2993.73
09/16/2019, 2997.96, 0, 2996.41, 3002.19, 2990.67
09/13/2019, 3007.39, 0, 3012.21, 3017.33, 3002.9
09/12/2019, 3009.57, 0, 3009.08, 3020.74, 3000.92
09/11/2019, 3000.93, 0, 2981.41, 3000.93, 2975.31
09/10/2019, 2979.39, 0, 2971.01, 2979.39, 2957.01
09/09/2019, 2978.43, 0, 2988.43, 2989.43, 2969.39
09/06/2019, 2978.71, 0, 2980.33, 2985.03, 2972.51
09/05/2019, 2976, 0, 2960.6, 2985.86, 2960.6
09/04/2019, 2937.78, 0, 2924.67, 2938.84, 2921.86
09/03/2019, 2906.27, 0, 2909.01, 2914.39, 2891.85
08/30/2019, 2926.46, 0, 2937.09, 2940.43, 2913.32
08/29/2019, 2924.58, 0, 2910.37, 2930.5, 2905.67
08/28/2019, 2887.94, 0, 2861.28, 2890.03, 2853.05
08/27/2019, 2869.16, 0, 2893.14, 2898.79, 2860.59
08/26/2019, 2878.38, 0, 2866.7, 2879.27, 2856
08/23/2019, 2847.11, 0, 2911.07, 2927.01, 2834.97
08/22/2019, 2922.95, 0, 2930.94, 2939.08, 2904.51
08/21/2019, 2924.43, 0, 2922.04, 2928.73, 2917.91
08/20/2019, 2900.51, 0, 2919.01, 2923.63, 2899.6
08/19/2019, 2923.65, 0, 2913.48, 2931, 2913.48
08/16/2019, 2888.68, 0, 2864.74, 2893.63, 2864.74
08/15/2019, 2847.6, 0, 2846.2, 2856.67, 2825.51
08/14/2019, 2840.6, 0, 2894.15, 2894.15, 2839.64
08/13/2019, 2926.32, 0, 2880.72, 2943.31, 2877.05
08/12/2019, 2883.09, 0, 2907.07, 2907.58, 2873.14
08/09/2019, 2918.65, 0, 2930.51, 2935.75, 2900.15
08/08/2019, 2938.09, 0, 2896.21, 2938.72, 2894.47
08/07/2019, 2883.98, 0, 2858.65, 2892.17, 2825.71
08/06/2019, 2881.77, 0, 2861.18, 2884.4, 2847.42
08/05/2019, 2844.74, 0, 2898.07, 2898.07, 2822.12
08/02/2019, 2932.05, 0, 2943.9, 2945.5, 2914.11
08/01/2019, 2953.56, 0, 2980.32, 3013.59, 2945.23
07/31/2019, 2980.38, 0, 3016.22, 3017.4, 2958.08
07/30/2019, 3013.18, 0, 3007.66, 3017.19, 3000.94
07/29/2019, 3020.97, 0, 3024.47, 3025.61, 3014.3
07/26/2019, 3025.86, 0, 3013.25, 3027.98, 3012.59
07/25/2019, 3003.67, 0, 3016.26, 3016.31, 2997.24
07/24/2019, 3019.56, 0, 2998.77, 3019.59, 2996.82
07/23/2019, 3005.47, 0, 2994.74, 3005.9, 2988.56
07/22/2019, 2985.03, 0, 2981.93, 2990.71, 2976.65
07/19/2019, 2976.61, 0, 3004.26, 3006.02, 2975.86
07/18/2019, 2995.11, 0, 2978.87, 2998.28, 2973.09
07/17/2019, 2984.42, 0, 3005.1, 3005.26, 2984.25
07/16/2019, 3004.04, 0, 3012.13, 3015.02, 3001.15
07/15/2019, 3014.3, 0, 3017.8, 3017.8, 3008.77
07/12/2019, 3013.77, 0, 3003.36, 3013.92, 3001.87
07/11/2019, 2999.91, 0, 2999.62, 3002.33, 2988.8
07/10/2019, 2993.07, 0, 2989.3, 3002.98, 2984.62
07/09/2019, 2979.63, 0, 2965.52, 2981.9, 2963.44
07/08/2019, 2975.95, 0, 2979.77, 2980.76, 2970.09
07/05/2019, 2990.41, 0, 2984.25, 2994.03, 2967.97
07/03/2019, 2995.82, 0, 2978.08, 2995.84, 2977.96
07/02/2019, 2973.01, 0, 2964.66, 2973.21, 2955.92
07/01/2019, 2964.33, 0, 2971.41, 2977.93, 2952.22
06/28/2019, 2941.76, 0, 2932.94, 2943.98, 2929.05
06/27/2019, 2924.92, 0, 2919.66, 2929.3, 2918.57
06/26/2019, 2913.78, 0, 2926.07, 2932.59, 2912.99
06/25/2019, 2917.38, 0, 2945.78, 2946.52, 2916.01
06/24/2019, 2945.35, 0, 2951.42, 2954.92, 2944.05
06/21/2019, 2950.46, 0, 2952.71, 2964.15, 2946.87
06/20/2019, 2954.18, 0, 2949.6, 2958.06, 2931.5
06/19/2019, 2926.46, 0, 2920.55, 2931.74, 2911.43
06/18/2019, 2917.75, 0, 2906.71, 2930.79, 2905.44
06/17/2019, 2889.67, 0, 2889.75, 2897.27, 2887.3
06/14/2019, 2886.98, 0, 2886.82, 2894.45, 2879.62
06/13/2019, 2891.64, 0, 2886.24, 2895.24, 2881.99
06/12/2019, 2879.84, 0, 2882.73, 2888.57, 2874.68
06/11/2019, 2885.72, 0, 2903.27, 2910.61, 2878.53
06/10/2019, 2886.73, 0, 2885.83, 2904.77, 2885.51
06/07/2019, 2873.34, 0, 2852.87, 2884.97, 2852.87
06/06/2019, 2843.49, 0, 2828.51, 2852.1, 2822.45
06/05/2019, 2826.15, 0, 2818.09, 2827.28, 2800.92
06/04/2019, 2803.27, 0, 2762.64, 2804.49, 2762.64
06/03/2019, 2744.45, 0, 2751.53, 2763.07, 2728.81
05/31/2019, 2752.06, 0, 2766.15, 2768.98, 2750.52
05/30/2019, 2788.86, 0, 2786.94, 2799, 2776.74
05/29/2019, 2783.02, 0, 2790.25, 2792.03, 2766.06
05/28/2019, 2802.39, 0, 2830.03, 2840.51, 2801.58
05/24/2019, 2826.06, 0, 2832.41, 2841.36, 2820.19
05/23/2019, 2822.24, 0, 2836.7, 2836.7, 2805.49
05/22/2019, 2856.27, 0, 2856.06, 2865.47, 2851.11
05/21/2019, 2864.36, 0, 2854.02, 2868.88, 2854.02
05/20/2019, 2840.23, 0, 2841.94, 2853.86, 2831.29
